Date,Close,High,Low,Open
2017-11-09,6.000000212225132e-06,1.2000000424450263e-05,6.000000212225132e-06,7.999999979801942e-06
2017-11-10,6.000000212225132e-06,9.000000318337698e-06,6.000000212225132e-06,6.000000212225132e-06
2017-11-11,1.8999999156221747e-05,1.8999999156221747e-05,3.999999989900971e-06,6.000000212225132e-06
2017-11-12,3.300000025774352e-05,3.300000025774352e-05,6.000000212225132e-06,1.8999999156221747e-05
2017-11-13,2.4000000848900527e-05,4.8000001697801054e-05,2.4000000848900527e-05,3.300000025774352e-05
2017-11-14,7.000000096013537e-06,2.499999936844688e-05,7.000000096013537e-06,2.4000000848900527e-05
2017-11-15,3.099999958067201e-05,3.300000025774352e-05,7.999999979801942e-06,7.999999979801942e-06
2017-11-16,9.000000318337698e-06,3.7999998312443495e-05,7.000000096013537e-06,3.099999958067201e-05
2017-11-17,9.000000318337698e-06,2.8000000384054147e-05,9.000000318337698e-06,9.000000318337698e-06
2017-11-18,1.2999999853491317e-05,2.499999936844688e-05,4.999999873689376e-06,9.000000318337698e-06
2017-11-19,1.1000000085914508e-05,1.4000000192027073e-05,4.999999873689376e-06,1.2999999853491317e-05
2017-11-20,9.999999747378752e-06,1.9999999494757503e-05,9.000000318337698e-06,1.1000000085914508e-05
2017-11-21,6.000000212225132e-06,9.999999747378752e-06,4.999999873689376e-06,9.999999747378752e-06
2017-11-22,9.000000318337698e-06,9.999999747378752e-06,4.999999873689376e-06,6.000000212225132e-06
2017-11-23,1.1000000085914508e-05,1.8999999156221747e-05,7.000000096013537e-06,7.999999979801942e-06
2017-11-24,9.000000318337698e-06,5.6000000768108293e-05,6.000000212225132e-06,9.999999747378752e-06
2017-11-25,4.999999873689376e-06,5.500000042957254e-05,4.999999873689376e-06,7.999999979801942e-06
2017-11-26,1.1000000085914508e-05,2.700000004551839e-05,4.999999873689376e-06,4.999999873689376e-06
2017-11-27,3.999999989900971e-06,1.1000000085914508e-05,3.999999989900971e-06,1.1000000085914508e-05
2017-11-28,2.4000000848900527e-05,2.700000004551839e-05,3.999999989900971e-06,3.999999989900971e-06
2017-11-29,3.000000106112566e-06,2.499999936844688e-05,3.000000106112566e-06,2.300000051036477e-05
2017-11-30,6.000000212225132e-06,6.000000212225132e-06,3.000000106112566e-06,3.000000106112566e-06
2017-12-01,1.1000000085914508e-05,1.1000000085914508e-05,9.999999974752427e-07,6.000000212225132e-06
2017-12-02,3.000000106112566e-06,2.300000051036477e-05,3.000000106112566e-06,1.1000000085914508e-05
2017-12-03,5.2999999752501026e-05,5.2999999752501026e-05,3.000000106112566e-06,3.000000106112566e-06
2017-12-04,4.999999873689376e-06,8.499999967170879e-05,4.999999873689376e-06,5.2999999752501026e-05
2017-12-05,4.999999873689376e-06,6.000000212225132e-06,3.000000106112566e-06,4.999999873689376e-06
2017-12-06,6.000000212225132e-06,6.000000212225132e-06,3.000000106112566e-06,4.999999873689376e-06
2017-12-07,1.8999999156221747e-05,1.9999999494757503e-05,6.000000212225132e-06,6.000000212225132e-06
2017-12-08,1.5999999959603883e-05,1.8999999156221747e-05,1.4999999621068127e-05,1.8000000636675395e-05
2017-12-09,1.4999999621068127e-05,2.300000051036477e-05,1.4999999621068127e-05,1.5999999959603883e-05
2017-12-10,1.4999999621068127e-05,1.5999999959603883e-05,1.2999999853491317e-05,1.4999999621068127e-05
2017-12-11,1.5999999959603883e-05,9.899999713525176e-05,7.999999979801942e-06,1.4999999621068127e-05
2017-12-12,1.2999999853491317e-05,1.5999999959603883e-05,1.2999999853491317e-05,1.5999999959603883e-05
2017-12-13,1.5999999959603883e-05,9.500000305706635e-05,1.2000000424450263e-05,1.2999999853491317e-05
2017-12-14,1.700000029813964e-05,1.9999999494757503e-05,1.5999999959603883e-05,1.5999999959603883e-05
2017-12-15,1.700000029813964e-05,1.8000000636675395e-05,9.999999747378752e-06,1.700000029813964e-05
2017-12-16,3.899999865097925e-05,0.0001880000054370612,1.700000029813964e-05,1.700000029813964e-05
2017-12-17,3.7999998312443495e-05,5.900000178371556e-05,1.8999999156221747e-05,3.899999865097925e-05
2017-12-18,0.00019500000053085387,0.0005760000203736126,2.4000000848900527e-05,5.700000110664405e-05
