CryptoDate,Close,CryptoID,Ticker
2017-11-09,0.5354350209236145,2017-11-09MIOTA,MIOTA
2017-11-10,0.504601001739502,2017-11-10MIOTA,MIOTA
2017-11-11,0.6218169927597046,2017-11-11MIOTA,MIOTA
2017-11-12,0.593716025352478,2017-11-12MIOTA,MIOTA
2017-11-13,0.5916339755058289,2017-11-13MIOTA,MIOTA
2017-11-14,0.6103320121765137,2017-11-14MIOTA,MIOTA
2017-11-15,0.7858229875564575,2017-11-15MIOTA,MIOTA
2017-11-16,0.8239409923553467,2017-11-16MIOTA,MIOTA
2017-11-17,0.7924619913101196,2017-11-17MIOTA,MIOTA
2017-11-18,0.823032021522522,2017-11-18MIOTA,MIOTA
2017-11-19,0.8646379709243774,2017-11-19MIOTA,MIOTA
2017-11-20,0.9665480256080627,2017-11-20MIOTA,MIOTA
2017-11-21,0.8884990215301514,2017-11-21MIOTA,MIOTA
2017-11-22,0.8995699882507324,2017-11-22MIOTA,MIOTA
2017-11-23,0.793487012386322,2017-11-23MIOTA,MIOTA
2017-11-24,0.7869139909744263,2017-11-24MIOTA,MIOTA
2017-11-25,0.8061169981956482,2017-11-25MIOTA,MIOTA
2017-11-26,0.8419319987297058,2017-11-26MIOTA,MIOTA
2017-11-27,1.0393699407577515,2017-11-27MIOTA,MIOTA
2017-11-28,1.5044599771499634,2017-11-28MIOTA,MIOTA
2017-11-29,1.2478699684143066,2017-11-29MIOTA,MIOTA
2017-11-30,1.3266500234603882,2017-11-30MIOTA,MIOTA
2017-12-01,1.4457600116729736,2017-12-01MIOTA,MIOTA
2017-12-02,1.4351500272750854,2017-12-02MIOTA,MIOTA
2017-12-03,1.88155996799469,2017-12-03MIOTA,MIOTA
2017-12-04,2.7645199298858643,2017-12-04MIOTA,MIOTA
2017-12-05,3.8408000469207764,2017-12-05MIOTA,MIOTA
2017-12-06,4.355639934539795,2017-12-06MIOTA,MIOTA
2017-12-07,4.144800186157227,2017-12-07MIOTA,MIOTA
2017-12-08,5.011730194091797,2017-12-08MIOTA,MIOTA
2017-12-09,4.682089805603027,2017-12-09MIOTA,MIOTA
2017-12-10,4.130060195922852,2017-12-10MIOTA,MIOTA
2017-12-11,4.267399787902832,2017-12-11MIOTA,MIOTA
2017-12-12,4.715310096740723,2017-12-12MIOTA,MIOTA
2017-12-13,4.088119983673096,2017-12-13MIOTA,MIOTA
2017-12-14,3.7840399742126465,2017-12-14MIOTA,MIOTA
2017-12-15,3.904210090637207,2017-12-15MIOTA,MIOTA
2017-12-16,3.6289401054382324,2017-12-16MIOTA,MIOTA
2017-12-17,3.929150104522705,2017-12-17MIOTA,MIOTA
2017-12-18,4.237349987030029,2017-12-18MIOTA,MIOTA
2017-12-19,5.366330146789551,2017-12-19MIOTA,MIOTA
2017-12-20,5.089529991149902,2017-12-20MIOTA,MIOTA
2017-12-21,5.029880046844482,2017-12-21MIOTA,MIOTA
2017-12-22,3.44773006439209,2017-12-22MIOTA,MIOTA
2017-12-23,3.609920024871826,2017-12-23MIOTA,MIOTA
2017-12-24,3.4807701110839844,2017-12-24MIOTA,MIOTA
2017-12-25,3.501579999923706,2017-12-25MIOTA,MIOTA
2017-12-26,3.8039700984954834,2017-12-26MIOTA,MIOTA
2017-12-27,3.7417900562286377,2017-12-27MIOTA,MIOTA
2017-12-28,3.680150032043457,2017-12-28MIOTA,MIOTA
2017-12-29,3.6888198852539062,2017-12-29MIOTA,MIOTA
2017-12-30,3.3427200317382812,2017-12-30MIOTA,MIOTA
2017-12-31,3.550869941711426,2017-12-31MIOTA,MIOTA
2018-01-01,3.974400043487549,2018-01-01MIOTA,MIOTA
2018-01-02,3.996150016784668,2018-01-02MIOTA,MIOTA
2018-01-03,4.126840114593506,2018-01-03MIOTA,MIOTA
2018-01-04,4.082310199737549,2018-01-04MIOTA,MIOTA
2018-01-05,3.7544500827789307,2018-01-05MIOTA,MIOTA
2018-01-06,3.942229986190796,2018-01-06MIOTA,MIOTA
2018-01-07,4.070559978485107,2018-01-07MIOTA,MIOTA
2018-01-08,3.8458499908447266,2018-01-08MIOTA,MIOTA
2018-01-09,3.537169933319092,2018-01-09MIOTA,MIOTA
2018-01-10,3.7838900089263916,2018-01-10MIOTA,MIOTA
2018-01-11,3.3673300743103027,2018-01-11MIOTA,MIOTA
2018-01-12,3.6910300254821777,2018-01-12MIOTA,MIOTA
2018-01-13,3.9369800090789795,2018-01-13MIOTA,MIOTA
2018-01-14,3.735529899597168,2018-01-14MIOTA,MIOTA
2018-01-15,3.4822700023651123,2018-01-15MIOTA,MIOTA
2018-01-16,2.6008501052856445,2018-01-16MIOTA,MIOTA
2018-01-17,2.7166199684143066,2018-01-17MIOTA,MIOTA
2018-01-18,2.754770040512085,2018-01-18MIOTA,MIOTA
2018-01-19,2.6971700191497803,2018-01-19MIOTA,MIOTA
2018-01-20,3.0049099922180176,2018-01-20MIOTA,MIOTA
2018-01-21,2.7668299674987793,2018-01-21MIOTA,MIOTA
2018-01-22,2.4682400226593018,2018-01-22MIOTA,MIOTA
2018-01-23,2.4958300590515137,2018-01-23MIOTA,MIOTA
2018-01-24,2.434619903564453,2018-01-24MIOTA,MIOTA
2018-01-25,2.3652100563049316,2018-01-25MIOTA,MIOTA
2018-01-26,2.3733999729156494,2018-01-26MIOTA,MIOTA
2018-01-27,2.4493300914764404,2018-01-27MIOTA,MIOTA
2018-01-28,2.521780014038086,2018-01-28MIOTA,MIOTA
2018-01-29,2.576390027999878,2018-01-29MIOTA,MIOTA
2018-01-30,2.2187600135803223,2018-01-30MIOTA,MIOTA
2018-01-31,2.308150053024292,2018-01-31MIOTA,MIOTA
2018-02-01,1.9068399667739868,2018-02-01MIOTA,MIOTA
2018-02-02,1.8079500198364258,2018-02-02MIOTA,MIOTA
2018-02-03,1.9894100427627563,2018-02-03MIOTA,MIOTA
2018-02-04,1.7441099882125854,2018-02-04MIOTA,MIOTA
2018-02-05,1.4452300071716309,2018-02-05MIOTA,MIOTA
2018-02-06,1.6231800317764282,2018-02-06MIOTA,MIOTA
2018-02-07,1.600219964981079,2018-02-07MIOTA,MIOTA
2018-02-08,1.7834500074386597,2018-02-08MIOTA,MIOTA
2018-02-09,1.958109974861145,2018-02-09MIOTA,MIOTA
2018-02-10,1.8604600429534912,2018-02-10MIOTA,MIOTA
2018-02-11,1.701930046081543,2018-02-11MIOTA,MIOTA
2018-02-12,1.870859980583191,2018-02-12MIOTA,MIOTA
2018-02-13,1.814620018005371,2018-02-13MIOTA,MIOTA
2018-02-14,2.0319700241088867,2018-02-14MIOTA,MIOTA
2018-02-15,2.125760078430176,2018-02-15MIOTA,MIOTA
2018-02-16,2.103950023651123,2018-02-16MIOTA,MIOTA
2018-02-17,2.1964900493621826,2018-02-17MIOTA,MIOTA
2018-02-18,1.9817899465560913,2018-02-18MIOTA,MIOTA
2018-02-19,2.085020065307617,2018-02-19MIOTA,MIOTA
2018-02-20,1.912179946899414,2018-02-20MIOTA,MIOTA
2018-02-21,1.7568700313568115,2018-02-21MIOTA,MIOTA
2018-02-22,1.6249699592590332,2018-02-22MIOTA,MIOTA
2018-02-23,1.752210021018982,2018-02-23MIOTA,MIOTA
2018-02-24,1.7760100364685059,2018-02-24MIOTA,MIOTA
2018-02-25,1.8159099817276,2018-02-25MIOTA,MIOTA
2018-02-26,1.8680399656295776,2018-02-26MIOTA,MIOTA
2018-02-27,1.9738999605178833,2018-02-27MIOTA,MIOTA
2018-02-28,1.856529951095581,2018-02-28MIOTA,MIOTA
2018-03-01,1.9696300029754639,2018-03-01MIOTA,MIOTA
2018-03-02,1.9162299633026123,2018-03-02MIOTA,MIOTA
2018-03-03,1.863669991493225,2018-03-03MIOTA,MIOTA
2018-03-04,1.8944000005722046,2018-03-04MIOTA,MIOTA
2018-03-05,1.8773399591445923,2018-03-05MIOTA,MIOTA
2018-03-06,1.6991699934005737,2018-03-06MIOTA,MIOTA
2018-03-07,1.5303699970245361,2018-03-07MIOTA,MIOTA
2018-03-08,1.3970600366592407,2018-03-08MIOTA,MIOTA
2018-03-09,1.3945300579071045,2018-03-09MIOTA,MIOTA
2018-03-10,1.3082000017166138,2018-03-10MIOTA,MIOTA
2018-03-11,1.389449954032898,2018-03-11MIOTA,MIOTA
2018-03-12,1.3385599851608276,2018-03-12MIOTA,MIOTA
2018-03-13,1.3112200498580933,2018-03-13MIOTA,MIOTA
2018-03-14,1.124709963798523,2018-03-14MIOTA,MIOTA
2018-03-15,1.092039942741394,2018-03-15MIOTA,MIOTA
2018-03-16,1.1011199951171875,2018-03-16MIOTA,MIOTA
2018-03-17,1.14274001121521,2018-03-17MIOTA,MIOTA
2018-03-18,1.2259900569915771,2018-03-18MIOTA,MIOTA
2018-03-19,1.3298699855804443,2018-03-19MIOTA,MIOTA
2018-03-20,1.435770034790039,2018-03-20MIOTA,MIOTA
2018-03-21,1.371209979057312,2018-03-21MIOTA,MIOTA
2018-03-22,1.3263700008392334,2018-03-22MIOTA,MIOTA
2018-03-23,1.3365600109100342,2018-03-23MIOTA,MIOTA
2018-03-24,1.3257399797439575,2018-03-24MIOTA,MIOTA
2018-03-25,1.3214399814605713,2018-03-25MIOTA,MIOTA
2018-03-26,1.2365399599075317,2018-03-26MIOTA,MIOTA
2018-03-27,1.1735299825668335,2018-03-27MIOTA,MIOTA
2018-03-28,1.1923099756240845,2018-03-28MIOTA,MIOTA
2018-03-29,1.0931400060653687,2018-03-29MIOTA,MIOTA
2018-03-30,1.1106599569320679,2018-03-30MIOTA,MIOTA
2018-03-31,1.0773199796676636,2018-03-31MIOTA,MIOTA
2018-04-01,0.9947980046272278,2018-04-01MIOTA,MIOTA
2018-04-02,1.0346299409866333,2018-04-02MIOTA,MIOTA
2018-04-03,1.111430048942566,2018-04-03MIOTA,MIOTA
2018-04-04,0.9901580214500427,2018-04-04MIOTA,MIOTA
2018-04-05,0.9829530119895935,2018-04-05MIOTA,MIOTA
2018-04-06,0.9353669881820679,2018-04-06MIOTA,MIOTA
2018-04-07,0.9847189784049988,2018-04-07MIOTA,MIOTA
2018-04-08,1.0217900276184082,2018-04-08MIOTA,MIOTA
2018-04-09,0.9895049929618835,2018-04-09MIOTA,MIOTA
