Date,Close,High,Low,Open
2018-07-23,4.600000102072954e-05,4.600000102072954e-05,3.300000025774352e-05,3.400000059627928e-05
2018-07-24,4.70000013592653e-05,5.900000178371556e-05,4.099999932805076e-05,4.400000034365803e-05
2018-07-25,5.700000110664405e-05,7.699999696342275e-05,4.400000034365803e-05,4.600000102072954e-05
2018-07-26,5.999999848427251e-05,7.000000186963007e-05,4.8000001697801054e-05,5.700000110664405e-05
2018-07-27,6.199999916134402e-05,6.500000017695129e-05,5.400000009103678e-05,5.999999848427251e-05
2018-07-28,5.700000110664405e-05,6.500000017695129e-05,5.6000000768108293e-05,6.199999916134402e-05
2018-07-29,5.2999999752501026e-05,5.900000178371556e-05,5.199999941396527e-05,5.700000110664405e-05
2018-07-30,5.0999999075429514e-05,5.900000178371556e-05,5.0999999075429514e-05,5.2999999752501026e-05
2018-07-31,4.8000001697801054e-05,5.400000009103678e-05,4.600000102072954e-05,5.0999999075429514e-05
2018-08-01,5.2999999752501026e-05,5.500000042957254e-05,4.70000013592653e-05,4.8000001697801054e-05
2018-08-02,4.70000013592653e-05,5.500000042957254e-05,4.600000102072954e-05,5.2999999752501026e-05
2018-08-03,3.600000127335079e-05,5.0999999075429514e-05,3.5000000934815034e-05,4.70000013592653e-05
2018-08-04,3.7000001611886546e-05,4.400000034365803e-05,3.5000000934815034e-05,3.600000127335079e-05
2018-08-05,3.899999865097925e-05,4.5000000682193786e-05,3.400000059627928e-05,3.7000001611886546e-05
2018-08-06,4.199999966658652e-05,4.8000001697801054e-05,3.5000000934815034e-05,3.899999865097925e-05
2018-08-07,3.9999998989515007e-05,5.2999999752501026e-05,3.7000001611886546e-05,4.199999966658652e-05
2018-08-08,3.7000001611886546e-05,4.199999966658652e-05,3.600000127335079e-05,3.9999998989515007e-05
2018-08-09,3.7000001611886546e-05,3.7999998312443495e-05,3.5000000934815034e-05,3.7000001611886546e-05
2018-08-10,3.7000001611886546e-05,3.899999865097925e-05,3.400000059627928e-05,3.7000001611886546e-05
2018-08-11,3.600000127335079e-05,3.7999998312443495e-05,3.099999958067201e-05,3.7999998312443495e-05
2018-08-12,3.5000000934815034e-05,3.899999865097925e-05,3.5000000934815034e-05,3.600000127335079e-05
2018-08-13,3.300000025774352e-05,3.7000001611886546e-05,3.099999958067201e-05,3.5000000934815034e-05
2018-08-14,3.199999991920777e-05,3.300000025774352e-05,2.8000000384054147e-05,3.300000025774352e-05
2018-08-15,3.099999958067201e-05,3.400000059627928e-05,2.9999999242136255e-05,3.199999991920777e-05
